,Dealer's Price:,MSRP:,Location:,Mileage:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,VIN:,Stock #:,Condition:,Price:,Model:,Dealer Name:,Dealer Address:,Delivery:,Price + Delivery:,Cabin Size:
10,"$57,078","$58,280","Lake Charles, LA
134 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP60NW276283,NW276283,New,"$57,275",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607",$196,"$57,275",
11,"$57,263","$59,620","Lake Charles, LA
134 mi away",---,8-Speed Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP61NW153298,NW153298,New,"$57,460",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607",$196,"$57,460",
12,"$57,475","$58,975","Humble, TX
22 mi away",0 miles,Automatic,Yellow (High Velocity Clearcoat),Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP64NW205281,NW205281,New,"$57,475",Wrangler,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North<br>Humble, TX 77338",,,
13,"$57,880","$59,380","Humble, TX
22 mi away",0 miles,Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP65NW197997,NW197997,New,"$57,880",Wrangler,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North<br>Humble, TX 77338",,,
14,"$57,975","$59,475","Humble, TX
22 mi away",0 miles,Automatic,Sting-Gray Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP66NW227976,NW227976,New,"$57,975",Wrangler,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North<br>Humble, TX 77338",,,
15,"$57,975","$59,475","Humble, TX
22 mi away",0 miles,Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP62NW227974,NW227974,New,"$57,975",Wrangler,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North<br>Humble, TX 77338",,,
16,"$58,230",Not Provided,"Dickinson, TX
21 mi away",10 miles,8-Speed Automatic,Bright White Clearcoat,,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP65NW114696,NW114696,New,"$58,230",Wrangler,Ron Carter Chrysler Jeep Dodge of League City,"3535 Gulf Freeway South<br>Dickinson, TX 77539",,,
17,"$58,275","$59,775","Humble, TX
22 mi away",0 miles,Automatic,Sting-Gray Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP67NW197998,NW197998,New,"$58,275",Wrangler,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North<br>Humble, TX 77338",,,
18,"$58,380",Not Provided,"Dickinson, TX
21 mi away",11 miles,8-Speed Automatic,Bright White Clearcoat,,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP66NW227931,NW227931,New,"$58,380",Wrangler,Ron Carter Chrysler Jeep Dodge of League City,"3535 Gulf Freeway South<br>Dickinson, TX 77539",,,
19,"$58,625",Not Provided,"Dickinson, TX
21 mi away",10 miles,8-Speed Automatic,Black Clearcoat,,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP63NW114695,NW114695,New,"$58,625",Wrangler,Ron Carter Chrysler Jeep Dodge of League City,"3535 Gulf Freeway South<br>Dickinson, TX 77539",,,
20,"$58,617","$61,125","Lake Charles, LA
134 mi away",---,8-Speed Automatic,Brown (Limited Edition Gobi Clearcoat),Dark Saddle/Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP65NW233834,NW233834,New,"$58,814",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607",$196,"$58,814",
21,"$58,885","$60,385","Humble, TX
22 mi away",0 miles,Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP64NW278232,NW278232,New,"$58,885",Wrangler,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North<br>Humble, TX 77338",,,
22,"$58,970","$60,470","Humble, TX
22 mi away",0 miles,Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP60NW279829,NW279829,New,"$58,970",Wrangler,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North<br>Humble, TX 77338",,,
23,"$58,580","$58,580","Lamesa, TX
445 mi away",25 miles,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP60NW177883,NW177883,New,"$59,026",Wrangler,Premier CDJR of Lamesa,"1611 Lubbock Hwy<br>Lamesa, TX 79331",$446,"$59,026",
24,"$59,070","$59,070","Webster, TX
11 mi away",1 miles,Automatic,Sarge Green Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP6XNW198191,NW198191,New,"$59,070",Wrangler,Big Star Chrysler Jeep Dodge RAM Fiat Clear Lake,"15711 Gulf Fwy<br>Webster, TX 77598",,,
25,"$59,070","$59,070","Webster, TX
11 mi away",1 miles,Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP61NW198189,NW198189,New,"$59,070",Wrangler,Big Star Chrysler Jeep Dodge RAM Fiat Clear Lake,"15711 Gulf Fwy<br>Webster, TX 77598",,,
26,"$59,230","$60,730","Humble, TX
22 mi away",0 miles,Automatic,Sting-Gray Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP66NW218825,NW218825,New,"$59,230",Wrangler,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North<br>Humble, TX 77338",,,
27,"$59,056","$60,475","Lake Charles, LA
134 mi away",---,8-Speed Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP69NW278338,NW278338,New,"$59,253",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607",$196,"$59,253",
28,"$59,350","$59,350","Tomball, TX
30 mi away",---,8-Speed Automatic,Bright White Clearcoat,White (Clx9),"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP63NW198467,52831458,New,"$59,350",Wrangler,Tomball Dodge Chrysler Jeep,"23777 Highway 249<br>Tomball, TX 77375",,,
29,"$59,480","$57,480","Manvel, TX
12 mi away",10 miles,8-Speed Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP69NW229317,NW229317,New,"$59,480",Wrangler,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy<br>Manvel, TX 77578",,,
30,"$59,675","$59,675","Houston, TX
7 mi away",0 miles,8-Speed Automatic Overdrive,Bright White Clearcoat,Black,,"2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP61NW179058,NW179058,New,"$59,675",Wrangler,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive<br>Houston, TX 77098",,,
31,"$59,770","$59,770","Houston, TX
24 mi away",2 miles,Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP63NW136907,NW136907,New,"$59,770",Wrangler,Northwest Chrysler Jeep Dodge,"19616 Northwest Fwy<br>Houston, TX 77065",,,
32,"$59,870","$59,870","Houston, TX
7 mi away",0 miles,8-Speed Automatic Overdrive,Sting-Gray Clearcoat,Dark Saddle/Black,,"2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP69NW276427,NW276427,New,"$59,870",Wrangler,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive<br>Houston, TX 77098",,,
33,"$59,730","$61,225","Lake Charles, LA
134 mi away",---,8-Speed Automatic,Silver Zynith Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP61NW277586,NW277586,New,"$59,927",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607",$196,"$59,927",
34,"$60,070","$60,070","Pasadena, TX
12 mi away",0 miles,8-Speed Automatic,Silver Zynith,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP66NW198186,198186,New,"$60,070",Wrangler,Bayway Chrysler Dodge Jeep Ram,"4000 Pasadena Fwy<br>Pasadena, TX 77503",,,
35,"$60,070","$60,070","Houston, TX
7 mi away",0 miles,8-Speed Automatic Overdrive,Silver Zynith Clearcoat,Black,,"2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP6XNW179060,NW179060,New,"$60,070",Wrangler,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive<br>Houston, TX 77098",,,
36,"$60,070","$60,070","Houston, TX
7 mi away",0 miles,8-Speed Automatic Overdrive,Silver Zynith Clearcoat,Black,,"2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP63NW179059,NW179059,New,"$60,070",Wrangler,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive<br>Houston, TX 77098",,,
37,"$60,070","$60,070","Houston, TX
7 mi away",0 miles,8-Speed Automatic Overdrive,Silver Zynith Clearcoat,Dark Saddle/Black,,"2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP66NW179055,NW179055,New,"$60,070",Wrangler,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive<br>Houston, TX 77098",,,
38,"$60,070","$60,070","Houston, TX
7 mi away",0 miles,8-Speed Automatic Overdrive,Black Clearcoat,Black,,"2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP6XNW179057,NW179057,New,"$60,070",Wrangler,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive<br>Houston, TX 77098",,,
39,"$60,070","$60,070","Houston, TX
7 mi away",0 miles,8-Speed Automatic Overdrive,Silver Zynith Clearcoat,Dark Saddle/Black,,"2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP64NW179054,NW179054,New,"$60,070",Wrangler,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive<br>Houston, TX 77098",,,
40,"$60,070","$60,070","Houston, TX
7 mi away",0 miles,8-Speed Automatic Overdrive,Sting-Gray Clearcoat,Dark Saddle/Black,,"2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP68NW179056,NW179056,New,"$60,070",Wrangler,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive<br>Houston, TX 77098",,,
41,"$60,080","$60,080","Sealy, TX
48 mi away",11 miles,Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP64NW198395,NW198395,New,"$60,080",Wrangler,Momentum Chrysler Dodge Jeep Ram,"3704 NE I 10 Frontage Rd<br>Sealy, TX 77474",,,
42,"$59,950","$61,470","Lake Charles, LA
134 mi away",---,8-Speed Automatic,Brown (Limited Edition Gobi Clearcoat),Dark Saddle/Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP68NW236159,NW236159,New,"$60,147",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607",$196,"$60,147",
43,"$59,952","$61,470","Lake Charles, LA
134 mi away",---,8-Speed Automatic,Sarge Green Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP61NW153303,NW153303,New,"$60,149",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607",$196,"$60,149",
44,"$59,952","$61,470","Lake Charles, LA
134 mi away",---,8-Speed Automatic,Yellow (High Velocity Clearcoat),Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP67NW277754,NW277754,New,"$60,149",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607",$196,"$60,149",
45,"$60,250","$60,250","Pasadena, TX
12 mi away",10 miles,8-Speed Automatic,Bright White,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP67NW229509,B221140,New,"$60,250",Wrangler,Bayway Chrysler Dodge Jeep Ram,"4000 Pasadena Fwy<br>Pasadena, TX 77503",,,
46,"$60,280","$58,280","Manvel, TX
12 mi away",5 miles,8-Speed Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP63NW229314,NW229314,New,"$60,280",Wrangler,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy<br>Manvel, TX 77578",,,
47,"$60,280","$58,280","Manvel, TX
12 mi away",10 miles,8-Speed Automatic,Sarge Green Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP60NW229321,NW229321,New,"$60,280",Wrangler,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy<br>Manvel, TX 77578",,,
48,"$60,280","$58,280","Manvel, TX
12 mi away",10 miles,8-Speed Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP61NW229313,NW229313,New,"$60,280",Wrangler,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy<br>Manvel, TX 77578",,,
49,"$60,280","$58,280","Manvel, TX
12 mi away",5 miles,8-Speed Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP60NW229318,NW229318,New,"$60,280",Wrangler,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy<br>Manvel, TX 77578",,,
50,"$60,280","$58,280","Manvel, TX
12 mi away",5 miles,8-Speed Automatic,Hydro Blue Pearl Coat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP69NW229320,NW229320,New,"$60,280",Wrangler,Southfork Chrysler Dodge Jeep Ram,"17725 South Fwy<br>Manvel, TX 77578",,,
51,"$60,355","$61,855","Humble, TX
22 mi away",0 miles,Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP67NW268021,NW268021,New,"$60,355",Wrangler,Texan Chrysler Dodge Jeep Ram,"18555 Highway 59 North<br>Humble, TX 77338",,,
52,"$60,645","$60,645","Houston, TX
7 mi away",0 miles,8-Speed Automatic Overdrive,Silver Zynith Clearcoat,Black,,"2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP6XNW229956,NW229956,New,"$60,645",Wrangler,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive<br>Houston, TX 77098",,,
53,"$60,645","$60,645","Houston, TX
7 mi away",0 miles,8-Speed Automatic Overdrive,Black Clearcoat,Black,,"2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP68NW229955,NW229955,New,"$60,645",Wrangler,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive<br>Houston, TX 77098",,,
54,"$60,730","$60,730","Houston, TX
7 mi away",0 miles,8-Speed Automatic Overdrive,Firecracker Red Clearcoat,Black,,"2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP69NW272149,NW272149,New,"$60,730",Wrangler,River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive<br>Houston, TX 77098",,,
55,"$60,770","$60,770","Webster, TX
11 mi away",1 miles,Automatic,Yellow (High Velocity Clearcoat),Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP6XNW205396,NW205396,New,"$60,770",Wrangler,Big Star Chrysler Jeep Dodge RAM Fiat Clear Lake,"15711 Gulf Fwy<br>Webster, TX 77598",,,
56,"$60,629","$63,075","Lake Charles, LA
134 mi away",---,8-Speed Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR68NW249457,NW249457,New,"$60,826",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607",$196,"$60,826",
57,"$60,940","$60,940","Houston, TX
13 mi away",0 miles,Automatic,Red,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP62NW229255,0J220825,New,"$60,940",Wrangler,Gillman Jeep,"10575 W Sam Houston Pkwy S<br>Houston, TX 77099",,,
58,"$60,779","$62,390","Lake Charles, LA
134 mi away",---,8-Speed Automatic,Firecracker Red Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP65NW277610,NW277610,New,"$60,976",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607",$196,"$60,976",
59,"$60,782","$63,530","Lake Charles, LA
134 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP67NW230479,NW230479,New,"$60,979",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607",$196,"$60,979",
60,"$61,034","$61,675","Lake Charles, LA
134 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP62NW249778,NW249778,New,"$61,231",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607",$196,"$61,231",
61,"$61,164","$62,820","Lake Charles, LA
134 mi away",---,8-Speed Automatic,Gray (Granite Crystal Metallic Clearcoat),Dark Saddle/Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP61NW220272,NW220272,New,"$61,361",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607",$196,"$61,361",
62,"$61,470","$61,470","Boulder, CO
908 mi away",2 miles,8-Speed Automatic,Black Clearcoat,Dark Saddle/Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP63NW271126,G220269,New,"$63,740",Wrangler,Fowler Jeep of Boulder,"5075 East Pearl Pkwy<br>Boulder, CO 80301","$2,270","$63,740",
63,"$61,600","$61,600","Boulder, CO
908 mi away",2 miles,8-Speed Automatic,Bright White Clearcoat,Dark Saddle/Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP67NW275034,G220259,New,"$63,870",Wrangler,Fowler Jeep of Boulder,"5075 East Pearl Pkwy<br>Boulder, CO 80301","$2,270","$63,870",
64,"$61,478","$62,880","Lake Charles, LA
134 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR6XNW268026,NW268026,New,"$61,675",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607",$196,"$61,675",
65,"$61,478","$62,880","Lake Charles, LA
134 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR6XNW268009,NW268009,New,"$61,675",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607",$196,"$61,675",
