,Dealer's Price:,Delivery:,Price + Delivery:,MSRP:,Location:,Mileage:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Engine:,Drivetrain:,Fuel Type:,VIN:,Stock #:,Condition:,Price:,Model:,Dealer Name:,Dealer Address:,Battery Performance:,Cabin Size:
10,"$43,480",$399,"$43,879","$43,480","Frisco, TX
269 mi away",0 miles,Automatic,Black,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG9NW226056,53885323,New,"$43,879",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035",,
11,"$43,920",,,"$43,920","Boerne, TX
25 mi away",---,8-Speed Automatic,Sting-Gray Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG1NW225029,52760456,New,"$43,920",Wrangler,Boerne Dodge Chrysler Jeep Ram,"30300 I-10 West Boerne, TX 78006",,
12,"$44,880",$399,"$45,279","$44,880","Frisco, TX
269 mi away",0 miles,Automatic,Gray,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG6NW224829,52623342,New,"$45,279",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035",,
13,"$45,650",,,"$46,150","Castroville, TX
25 mi away",11 miles,8-Speed Automatic,Bright White Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG9NW181815,NW181815,New,"$45,650",Wrangler,Nyle Maxwell CDJR of Castroville,"1950 US Highway 90 E Castroville, TX 78009",,
14,"$45,835",,,Not Provided,"San Antonio, TX
8 mi away",8 miles,Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXDNXMW815680,W815680,New,"$45,835",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233",,
15,"$46,045",,,"$46,545","Castroville, TX
25 mi away",11 miles,8-Speed Automatic,Firecracker Red Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG2NW181817,NW181817,New,"$46,045",Wrangler,Nyle Maxwell CDJR of Castroville,"1950 US Highway 90 E Castroville, TX 78009",,
16,"$45,820",$399,"$46,219","$45,820","Frisco, TX
269 mi away",0 miles,Automatic,Gray,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXDNXNW201424,52622772,New,"$46,219",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035",,
17,"$45,934",$475,"$46,410","$47,690","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Silver Zynith Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG3NW151337,NW151337,New,"$46,410",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",,
18,"$46,775",Free,"$46,775","$49,875","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Black,Black,"22 MPG City
29 MPG Highway
25 MPG Combined",260 hp 3L V6 Diesel,Four-Wheel Drive,Diesel,1C4HJXDM8NW231982,231982,New,"$46,775",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",,
19,"$47,045",,,"$47,045","Castroville, TX
25 mi away",11 miles,8-Speed Automatic,Black Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG7NW181814,NW181814,New,"$47,045",Wrangler,Nyle Maxwell CDJR of Castroville,"1950 US Highway 90 E Castroville, TX 78009",,
20,"$47,045",,,"$47,045","Castroville, TX
25 mi away",11 miles,8-Speed Automatic,Black Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG5NW181813,NW181813,New,"$47,045",Wrangler,Nyle Maxwell CDJR of Castroville,"1950 US Highway 90 E Castroville, TX 78009",,
21,"$47,570",Free,"$47,570","$50,670","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Bright White,Brown (Heritage Tan/Black),"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDGXNW231427,231427,New,"$47,570",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",,
22,"$47,365",$319,"$47,685","$46,365","Fairfield, TX
205 mi away",2 miles,8-Speed Automatic,Bright White Clearcoat,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXDN1NW223831,223831,New,"$47,685",Wrangler,Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840",,
23,"$47,965",Free,"$47,965","$51,065","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Sting-Gray,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG3NW231429,231429,New,"$47,965",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",,
24,"$48,270",Free,"$48,270","$51,370","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Bright White,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG2NW227579,227579,New,"$48,270",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",,
25,"$48,010",$319,"$48,330","$47,010","Fairfield, TX
205 mi away",2 miles,8-Speed Automatic,Firecracker Red Clearcoat,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXDN3NW223832,223832,New,"$48,330",Wrangler,Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840",,
26,"$48,130",$399,"$48,529","$48,130","Frisco, TX
269 mi away",6 miles,Automatic,Gray,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXEN2NW118228,51513728,New,"$48,529",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035",,
27,"$48,665",Free,"$48,665","$51,765","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Black,Brown (Heritage Tan/Black),"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG8NW231426,231426,New,"$48,665",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",,
28,"$48,685",$144,"$48,829","$48,685","Kingsville, TX
138 mi away",0 miles,Automatic,Gray,,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXDN7NW222313,22166,New,"$48,829",Wrangler,Neessen Chrysler Dodge Jeep Ram,"2151 N US Highway 77 Byp Kingsville, TX 78363",,
29,"$49,110",Free,"$49,110","$52,210","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Hydro Blue Pearlcoat,Brown (Heritage Tan/Black),"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG6NW231425,231425,New,"$49,110",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",,
30,"$49,460",Free,"$49,460","$52,560","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Hydro Blue Pearlcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG0NW227581,227581,New,"$49,460",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",,
31,"$49,460",Free,"$49,460","$52,560","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Black,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG0NW227578,227578,New,"$49,460",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",,
32,"$49,460",Free,"$49,460","$52,560","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Sting-Gray,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG9NW227577,227577,New,"$49,460",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",,
33,"$49,771",,,"$50,220","Pleasanton, TX
29 mi away",10 miles,8-Speed Automatic,Sarge Green Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG9NW194970,194970,New,"$49,771",Wrangler,Atascosa Chrysler Dodge Jeep,"110128 I-37 Pleasanton, TX 78064",,
34,"$49,783",$475,"$50,259","$51,815","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Sting-Gray Clearcoat,Black,"22 MPG City
29 MPG Highway
25 MPG Combined",260 hp 3L V6 Diesel,Four-Wheel Drive,Diesel,1C4HJXDM3NW255901,NW255901,New,"$50,259",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",,
35,"$50,395",,,"$50,395","San Antonio, TX
8 mi away",0 miles,Automatic,Bright White Clearcoat,Black,,,Four-Wheel Drive,,1C4HJXEN3NW253136,W253136,New,"$50,395",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233",,
36,"$50,132",$475,"$50,608","$52,205","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Sarge Green Clearcoat,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXDN9NW215489,NW215489,New,"$50,608",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",,
37,"$50,790",,,"$50,790","San Antonio, TX
8 mi away",0 miles,Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,,,Four-Wheel Drive,,1C4HJXEN5NW253137,W253137,New,"$50,790",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233",,
38,"$50,790",,,"$50,790","San Antonio, TX
8 mi away",0 miles,Automatic,Black Clearcoat,Black,,,Four-Wheel Drive,,1C4HJXEN1NW253135,W253135,New,"$50,790",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233",,
39,"$51,035",,,"$51,035","San Antonio, TX
8 mi away",15 miles,Automatic,Black Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXEG7NW260091,W260091,New,"$51,035",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233",,
40,"$51,075","$2,065","$53,140","$51,075","Boulder, CO
825 mi away",2 miles,8-Speed Automatic,Sting-Gray Clearcoat,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXEN0NW176905,G220144,New,"$53,140",Wrangler,Fowler Jeep of Boulder,"5075 East Pearl Pkwy Boulder, CO 80301",,
41,"$51,088",,,"$51,165","San Antonio, TX
8 mi away",65 miles,Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG7NW200846,W200846,New,"$51,088",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233",,
42,"$51,138",,,"$51,215","San Antonio, TX
8 mi away",8 miles,Automatic,Black Clearcoat,Black,,,Four-Wheel Drive,,1C4HJXDM6NW255603,W255603,New,"$51,138",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233",,
43,"$50,860",$399,"$51,259","$50,860","Frisco, TX
269 mi away",0 miles,Automatic,Gray,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG3NW224349,52115019,New,"$51,259",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035",,
44,"$52,152",,,"$52,230","San Antonio, TX
8 mi away",12 miles,Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG2NW115655,W115655,New,"$52,152",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233",,
45,"$53,425",,,"$53,505","San Antonio, TX
8 mi away",9 miles,Automatic,Brown (Limited Edition Gobi Clearcoat),Black,,,Four-Wheel Drive,,1C4HJXDMXNW247522,W247522,New,"$53,425",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233",,
46,"$53,045",$399,"$53,444","$53,045","Frisco, TX
269 mi away",4 miles,Automatic,Black,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG9NW249661,NW249661,New,"$53,444",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035",,
47,"$53,724",,,"$53,805","San Antonio, TX
8 mi away",20 miles,Automatic,Sting-Gray Clearcoat,Black,,,Four-Wheel Drive,,1C4HJXDM1NW247523,W247523,New,"$53,724",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233",,
48,"$53,616",Free,"$53,616","$56,940","Houston, TX
172 mi away",1 miles,8-Speed Automatic,Brown (Limited Edition Gobi),Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXFN2NW248234,NW248234,New,"$53,616",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",,
49,"$54,250",$399,"$54,649","$54,250","Frisco, TX
269 mi away",10 miles,Automatic,Gray,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG8NW204095,53984453,New,"$54,649",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035",,
50,"$54,510",$399,"$54,909","$54,510","Frisco, TX
269 mi away",0 miles,Automatic,Black,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXEN8NW252760,53890439,New,"$54,909",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035",,
51,"$55,275","$2,065","$57,340","$55,275","Boulder, CO
825 mi away",2 miles,8-Speed Automatic,Yellow (High Velocity Clearcoat),Black,"22 MPG City
29 MPG Highway
25 MPG Combined",260 hp 3L V6 Diesel,Four-Wheel Drive,Diesel,1C4HJXDM1NW248591,G220248,New,"$57,340",Wrangler,Fowler Jeep of Boulder,"5075 East Pearl Pkwy Boulder, CO 80301",,
52,"$55,665",,,"$55,665","Boerne, TX
25 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXFN6NW252125,53156217,New,"$55,665",Wrangler,Boerne Dodge Chrysler Jeep Ram,"30300 I-10 West Boerne, TX 78006",,
53,"$55,365",$399,"$55,764","$55,365","Frisco, TX
269 mi away",0 miles,Automatic,White,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDGXNW203658,53881945,New,"$55,764",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035",,
54,"$55,760",$399,"$56,159","$55,760","Frisco, TX
269 mi away",0 miles,Automatic,Black,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG8NW203657,53881944,New,"$56,159",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035",,
55,"$56,575",$399,"$56,974","$56,575","Frisco, TX
269 mi away",4 miles,Automatic,Gray,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXEN0NW208154,NW208154,New,"$56,974",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035",,
56,"$57,056",,,"$59,700","San Antonio, TX
11 mi away",11 miles,8-Speed Automatic,Bright White Clearcoat,Black,,285 hp 3.6L V6,,Gasoline,1C4HJXDG7NW272095,C272095,New,"$57,056",Wrangler,Ingram Park Auto Center Chrysler Jeep,"7000 NW Loop 410 San Antonio, TX 78238",,
57,"$57,725",$399,"$58,124","$57,725","Frisco, TX
269 mi away",0 miles,Automatic,White,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXFN2NW246452,53163883,New,"$58,124",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035",,
58,"$58,170",,,"$58,170","San Antonio, TX
8 mi away",13 miles,Automatic,Black Clearcoat,Black,,,Four-Wheel Drive,,1C4HJXEM8NW248862,W248862,New,"$58,170",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233",,
59,"$59,765",$308,"$60,073","$59,765","Lamesa, TX
308 mi away",15 miles,8-Speed Automatic,Black Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXFG2NW266864,NW266864,New,"$60,073",Wrangler,Premier CDJR of Lamesa,"1611 Lubbock Hwy Lamesa, TX 79331",,
60,"$60,540","$2,065","$62,605","$60,540","Boulder, CO
825 mi away",37 miles,8-Speed Automatic,Bright White Clearcoat,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXEN5NW238539,G220211,New,"$62,605",Wrangler,Fowler Jeep of Boulder,"5075 East Pearl Pkwy Boulder, CO 80301",,
61,"$60,765",$399,"$61,164","$60,765","Frisco, TX
269 mi away",0 miles,Automatic,Gray,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXFN4NW246453,53163884,New,"$61,164",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035",,
62,"$62,172",,,"$62,265","San Antonio, TX
8 mi away",0 miles,Automatic,Black Clearcoat,Black,,,Four-Wheel Drive,,1C4HJXFN0NW253884,W253884,New,"$62,172",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233",,
63,"$63,975",$475,"$64,451","$65,975","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Brown (Limited Edition Gobi Clearcoat),Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4JJXFG6NW222691,NW222691,New,"$64,451",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",,
64,"$67,424",,,"$67,525","San Antonio, TX
8 mi away",0 miles,Automatic,Firecracker Red Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXFG6NW260324,W260324,New,"$67,424",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233",,
65,"$67,250",$475,"$67,726","$69,250","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Sting-Gray Clearcoat,Black,"22 MPG City
29 MPG Highway
25 MPG Combined",260 hp 3L V6 Diesel,Four-Wheel Drive,Diesel,1C4JJXFMXNW239077,NW239077,New,"$67,726",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",,
66,"$80,995",,,"$80,995","Floresville, TX
25 mi away",10 miles,Automatic,Hydro Blue Pearlcoat,Black,"13 MPG City
17 MPG Highway
14 MPG Combined",470 hp 6.4L V8,Four-Wheel Drive,Gasoline,1C4JJXSJ2MW789433,21J132,New,"$80,995",Wrangler,Price Chrysler Dodge Jeep Ram,"1541 US Highway 181 N Floresville, TX 78114",,
67,"$87,170",$475,"$87,646","$87,170","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Sting-Gray Clearcoat,Black,"13 MPG City
17 MPG Highway
14 MPG Combined",470 hp 6.4L V8,Four-Wheel Drive,Gasoline,1C4JJXSJ7NW233135,NW233135,New,"$87,646",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",,
68,"$90,990",Free,"$90,990",Not Provided,,80 miles,8-Speed Automatic,Gray,Black,"13 MPG City
17 MPG Highway
14 MPG Combined",470 hp 6.4L V8,Four-Wheel Drive,Gasoline,1C4JJXSJ3NW210046,2001853709,New,"$90,990",Wrangler,Carvana,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",,
69,"$92,325","$2,065","$94,390","$92,325","Boulder, CO
825 mi away",2 miles,8-Speed Automatic,Bright White Clearcoat,Black,"13 MPG City
17 MPG Highway
14 MPG Combined",470 hp 6.4L V8,Four-Wheel Drive,Gasoline,1C4JJXSJ5NW159911,G220260,New,"$94,390",Wrangler,Fowler Jeep of Boulder,"5075 East Pearl Pkwy Boulder, CO 80301",,
70,No Price Listed,,,Not Provided,"Seguin, TX
28 mi away",17 miles,Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG4NW124454,NW124454,New,4WD,Wrangler,Yaklin Chrysler Dodge Jeep Ram,"1550 W Kingsbury St Seguin, TX 78155",,
71,"$60,695",,,"$60,695","Seguin, TX
28 mi away",0 miles,Automatic,Sting-Gray Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP64NW214417,NW214417,New,"$60,695",Wrangler,Yaklin Chrysler Dodge Jeep Ram,"1550 W Kingsbury St Seguin, TX 78155","2.4 hr charge time, 21 mi range",
72,"$54,880",Free,"$54,880","$58,280","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Sting-Gray,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP64NW275797,275797,New,"$54,880",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079","2.4 hr charge time, 21 mi range",
