Make:,Model:,Year:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Price:,Dealer Name:,Dealer Address:,Trim:,Dealer's Price:,MSRP:,Location:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,Condition:,Cabin Size:,NHTSA Overall Safety Rating:
Ford,Bronco,2022.0,SUV / crossover,Eruption Green Metallic,Dark Space Gray,18 mi,1FMDE5DHXNLA93191,"$81,385",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",Outer Banks Advanced 4-Door 4WD,,,,,,,,,,,,,,
Ford,Bronco,2022.0,SUV / crossover,Race Red,CLOTH SANDSTONE/BLK SEATS BLACK ONYX INTERIOR,0 mi,1FMEE5DP4NLB22776,"$83,895",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",,,,,,,,,,,,,,,
Ford,Bronco,2022.0,SUV / crossover,Carbonized Gray Metallic,Dark Space Gray,0 mi,1FMEE5DP4NLB49458,"$85,000",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",,,,,,,,,,,,,,,
Ford,Bronco,2022.0,SUV / crossover,Blue (Area 51),Blue (STONE),22 mi,1FMEE5DP6NLB08152,"$85,040",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",Wildtrak Advanced 4-Door 4WD,,,,,,,,,,,,,,
Ford,Bronco,2022.0,SUV / crossover,Blue (Area 51),LTHR-TRM/VINYL SSTONE/BLK STS BLACK ONYX INTERIOR,0 mi,1FMEE5DP4NLB30618,"$85,165",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",,,,,,,,,,,,,,,
Ford,Bronco,2022.0,SUV / crossover,Cyber Orange Tricoat,LTHR-TRM/VINYL SSTONE/BLK STS BLACK ONYX INTERIOR,0 mi,1FMEE5DP6NLB30670,"$87,455",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",,,,,,,,,,,,,,,
Ford,Bronco,2022.0,SUV / crossover,Blue (Area 51),LTHR-TRM/VINYL SSTONE/BLK STS BLACK ONYX INTERIOR,0 mi,1FMEE5DP1NLB32438,"$87,480",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",,,,,,,,,,,,,,,
Ford,Bronco,2022.0,SUV / crossover,Blue (Area 51),Dark Space Gray,0 mi,1FMEE5DP6NLB32497,"$88,825",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",,,,,,,,,,,,,,,
Ford,Bronco,2022.0,SUV / crossover,,,,1FMDE5BH8NLA99865,"$102,000",Carrio MotorCars,"5120 N State Road 7 Ft. Lauderdale, FL 33319",Big Bend 4-Door 4WD,,,,,,,,,,,,,,
Ford,Bronco,2022.0,SUV / crossover,Carbonized Gray,CLOTH GRAY,0 mi,1FMDE5CH3NLB11483,4WD,Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",Outer Banks Advanced 2-Door 4WD,,,,,,,,,,,,,,
Ford,Bronco,2022.0,SUV / crossover,Chili Pepper Red,Black (blk),,1FMDE5CP4NLB43754,"$77,915",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",Advanced 2-Door 4WD,,,,,,,,,,,,,,
Ford,Bronco,2022.0,SUV / crossover,Iconic Silver,Black Onyx,0 mi,1FMEE5BP3NLB24179,4WD,Planet Ford Dallas,"3333 Inwood Road Dallas, TX 75235",Big Bend 4-Door 4WD,,,,,,,,,,,,,,
Ford,Bronco,2022.0,SUV / crossover,,,1 mi,1FMEE5DP6NLB30846,4WD,Bill Utter Ford,"4901 S Interstate 35 Denton, TX 76210",Advanced 4-Door 4WD,,,,,,,,,,,,,,
Ford,Bronco,2022.0,SUV / crossover,,,1 mi,1FMEE5DPXNLB31207,4WD,Bill Utter Ford,"4901 S Interstate 35 Denton, TX 76210",Advanced 4-Door 4WD,,,,,,,,,,,,,,
Ford,Bronco,2022.0,SUV / crossover,,,5 mi,1FMDE5CP2NLB30694,4WD,Bill Utter Ford,"4901 S Interstate 35 Denton, TX 76210",Advanced 2-Door 4WD,,,,,,,,,,,,,,
Ford,Bronco,2022.0,SUV / crossover,White,Black,25 mi,1FMEE5DP1NLB30348,Bronco,Mac Haik Ford Desoto,"515 I-35 Se Desoto, TX 75115",,,,,,,,,,,,,,,
Ford,Bronco,2022.0,SUV / crossover,Black,Black,25 mi,1FMEE5DH8NLB30937,Bronco,Mac Haik Ford Desoto,"515 I-35 Se Desoto, TX 75115",,,,,,,,,,,,,,,
Ford,Bronco,2021.0,SUV / crossover,Carbonized Gray Metallic,Gray (Medium Sandstone),"9,737 mi",1FMEE5DP1MLA65175,4WD,Mac Haik Ford Desoto,"515 I-35 Se Desoto, TX 75115",Wildtrak Advanced 4-Door 4WD,,,,,,,,,,,,,,
Ford,Maverick,2022.0,Pickup truck,Oxford White,Black Onyx/Medium Dark Slate,8 mi,3FTTW8E90NRA67741,"$25,490",North Central Ford,"1819 North Central Expressway Richardson, TX 75080",XL SuperCrew FWD,,,,,,,,,,,,,,
Ford,Maverick,2022.0,Coupe,Iconic Silver,Black Onyx/Medium Dark Slate,0 mi,3FTTW8E96NRA84009,"$32,675",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",,,,,,,,,,,,,,,
Ford,Maverick,2022.0,Coupe,Blue (Area 51),Black Onyx/Medium Dark Slate,0 mi,3FTTW8E9XNRA83302,"$32,690",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",,,,,,,,,,,,,,,
Ford,Maverick,2022.0,Coupe,Gray (Cactus Grey),Black Onyx/Medium Dark Slate,2 mi,3FTTW8E9XNRA77130,"$33,225",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",,,,,,,,,,,,,,,
Ford,Maverick,2022.0,Coupe,Velocity Blue,Black Onyx/Medium Dark Slate,0 mi,3FTTW8E95NRA78654,"$33,400",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",,,,,,,,,,,,,,,
Ford,Maverick,2022.0,Coupe,Gray (Cactus Grey),Black Onyx/Medium Dark Slate,0 mi,3FTTW8F97NRA83921,"$34,795",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",,,,,,,,,,,,,,,
Ford,Maverick,2022.0,Pickup truck,Gray (Cactus Grey),Desert Brown,29 mi,3FTTW8F94NRA74786,"$47,840",Grapevine Ford Lincoln,"801 E State Highway 114 Grapevine, TX 76051",Lariat SuperCrew AWD,,,,,,,,,,,,,,
Ford,Maverick,2022.0,Coupe,Gray (Carbonized Grey Metallic),Blue (Navy Pier/Medium Slate),0 mi,3FTTW8F93NRA77856,"$39,355",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",,,,,,,,,,,,,,,
Ford,Maverick,2022.0,Pickup truck,Gray,Gray,193 mi,3FTTW8F98NRA45047,"$41,990",Carvana,"701 E. Palace Parkway Grand Prairie, TX 75050",XLT SuperCrew AWD,,,,,,,,,,,,,,
Ford,Maverick,2022.0,Coupe,Velocity Blue Metallic,Desert Brown,0 mi,3FTTW8E94NRA78290,"$42,955",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",,,,,,,,,,,,,,,
Ford,Maverick,2022.0,Pickup truck,Blue,Black,229 mi,3FTTW8F99NRA41511,"$42,990",Carvana,"701 E. Palace Parkway Grand Prairie, TX 75050",XLT SuperCrew AWD,,,,,,,,,,,,,,
Ford,Maverick,2022.0,Coupe,Desert Brown,Desert Brown,0 mi,3FTTW8E38NRA74206,"$43,245",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",,,,,,,,,,,,,,,
Ford,Maverick,2022.0,Pickup truck,Gray,Gray,58 mi,3FTTW8F98NRA53665,"$43,590",Carvana,"701 E. Palace Parkway Grand Prairie, TX 75050",XLT SuperCrew AWD,,,,,,,,,,,,,,
Ford,Maverick,2022.0,Coupe,Blue,,10 mi,3FTTW8E9XNRA75197,Maverick,Bill Utter Ford,"4901 S Interstate 35 Denton, TX 76210",,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/light Grey) Premium Leath,8 mi,1GT40FDA4NU100450,"$110,295",Haggerty Buick GMC Inc,"300 W Roosevelt Rd Villa Park, IL 60181",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),10 mi,1GT40FDA6NU100367,"$110,295",Haggerty Buick GMC Inc,"300 W Roosevelt Rd Villa Park, IL 60181",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,INTERSTELLAR WHITE,JET BLACK/LIGHT GREY,8 mi,1GT40FDA2NU100253,"$111,144",Buick GMC of Beaverton,"9155 SW Canyon Road Portland, OR 97225",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),13 mi,1GT40FDA3NU100794,"$112,839",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),5 mi,1GT40FDAXNU100422,"$113,744",Hardin Buick GMC,"1321 Auto Center Dr Anaheim, CA 92806",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/light Grey),5 mi,1GT40FDAXNU100341,AWD,Rivard Buick GMC,"9740 Adamo Dr Tampa, FL 33619",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/light Grey) Premium Leath,5 mi,1GT40FDA8NU100645,"$114,290",Rivard Buick GMC,"9740 Adamo Dr Tampa, FL 33619",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),11 mi,1GT40FDA6NU100305,"$114,590",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/light Grey) Premium Leath,0 mi,1GT40FDAXNU100517,"$115,139",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),3 mi,1GT40FDA3NU100729,"$115,139",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),11 mi,1GT40FDA1NU100552,"$115,139",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),11 mi,1GT40FDA4NU100674,"$115,139",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),13 mi,1GT40FDA4NU100688,"$115,139",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,1GT40FDA6NU100756,"$115,139",Mark Sweeney Buick GMC,"3365 Highland Ave Cincinnati, OH 45213",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),5 mi,1GT40FDA3NU100407,"$115,439",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),0 mi,1GT40FDA6NU100658,AWD,Art Moran Buick GMC,"29300 Telegraph Rd Southfield, MI 48034",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),2 mi,1GT40FDA9NU100427,AWD,Quality Chevrolet Buick GMC,"386 Grand Ave Englewood, NJ 07631",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/light Grey),3 mi,1GT40FDAXNU100467,AWD,Brotherton Cadillac Buick GMC in Renton,"215 SW 12th Street Renton, WA 98055",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),3 mi,1GT40FDA1NU100471,AWD,Buick GMC of Bellevue,"13400 Northeast 20th Street Bellevue, WA 98005",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),6 mi,1GT40FDA4NU100657,AWD,Zeigler Buick GMC of Lincolnwood,"6900 N McCormick Blvd Lincolnwood, IL 60712",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
GMC,Hummer,2022.0,SUV / crossover,White,White (No Color),404 mi,1GT40FDA1NU100163,AWD,Quantum Auto Sales,"728 N. Escondido Blvd. Escondido, CA 92025",Edition 1 Crew Cab AWD,,,,,,,,,,,,,,
Chevrolet,Blazer,2022.0,SUV / crossover,Black,Jet Black,10 mi,3GNKBFRS2NS192619,"$42,945","Young Chevrolet, Inc.","9301 E Rl Thornton Fwy Dallas, TX 75228",Premier FWD,,,,,,,,,,,,,,
Chevrolet,Blazer,2022.0,SUV / crossover,Black,Jet Black,,3GNKBCR49NS196781,"$35,892",Red River Chevrolet,"221 Traffic St Bossier City, LA 71111",2LT FWD,,,,,,,,,,,,,,
Chevrolet,Blazer,2022.0,SUV / crossover,Black,"Jet Black, Premium Cloth seat trim",5 mi,3GNKBCR49NS200926,"$35,720",Classic of Cleburne,"822 Walter Holliday Cleburne, TX 76033",2LT FWD,,,,,,,,,,,,,,
Chevrolet,Blazer,2022.0,SUV / crossover,Black,Jet Black,2 mi,3GNKBCR43NS200923,"$37,098",Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840",2LT FWD,,,,,,,,,,,,,,
Chevrolet,Blazer,2022.0,SUV / crossover,Red Hot,Jet Black,5 mi,3GNKBCR47NS210693,"$37,390",Friendly Chevrolet Co.,"2754 N Stemmons Fwy Dallas, TX 75207",2LT FWD,,,,,,,,,,,,,,
Chevrolet,Blazer,2022.0,SUV / crossover,Nitro Yellow Metallic,Jet Black,5 mi,3GNKBERS1NS145883,"$41,241",Galleria Chevrolet,"4747 Lyndon B Johnson Fwy Dallas, TX 75244",RS FWD,,,,,,,,,,,,,,
Chevrolet,Blazer,2022.0,SUV / crossover,Black,Jet Black,10 mi,3GNKBFRS2NS192619,"$42,945","Young Chevrolet, Inc.","9301 E Rl Thornton Fwy Dallas, TX 75228",Premier FWD,,,,,,,,,,,,,,
