Make:,Model:,Year:,Mileage:,VIN:,Price:,Dealer Name:,Dealer Address:,Dealer's Price:,MSRP:,Location:,Transmission:,Interior Color:,Est. Gas Mileage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,Condition:,Cabin Size:,NHTSA Overall Safety Rating:
,Tundra,,5 miles,5TFLA5AB3NX009930,"$51,376",Pat Lobb Toyota of McKinney,"3350 S Central Expy Mckinney, TX 75070","$51,376","$51,376","Mckinney, TX
40 mi away",Automatic,Black,"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,New,Large Crew Cab,
,Tundra,,6 miles,5TFLA5DB4NX040258,"$51,957",Shottenkirk Toyota Granbury,"5100 East US Hwy 377 Granbury, TX 76049","$51,957","$51,957","Granbury, TX
38 mi away",Automatic,,"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,New,Large Crew Cab,
,Tundra,,6 miles,5TFLA5DB0NX039494,"$51,957",Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087","$51,957","$51,957","Weatherford, TX
32 mi away",Automatic,,"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,New,Large Crew Cab,
,Tundra,,6 miles,5TFLA5DB7NX039427,"$51,957",Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087","$51,957","$51,957","Weatherford, TX
32 mi away",Automatic,,"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,New,Large Crew Cab,
,Tundra,,6 miles,5TFLA5AB5NX012196,"$51,965",Shottenkirk Toyota Granbury,"5100 East US Hwy 377 Granbury, TX 76049","$51,965","$51,965","Granbury, TX
38 mi away",Automatic,,"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,New,Large Crew Cab,
,Tundra,,0 miles,5TFLA5DB7NX035412,"$53,073",Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092","$53,073","$51,957","Grapevine, TX
13 mi away",Automatic,Black,"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,New,Large Crew Cab,
,Tundra,,0 miles,5TFLA5DB6NX038463,"$56,847",Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092","$56,847","$55,731","Grapevine, TX
13 mi away",Automatic,White (BOULDER),"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,New,Large Crew Cab,
,Tundra,,6 miles,5TFJA5DB2NX039049,"$57,936",Shottenkirk Toyota Granbury,"5100 East US Hwy 377 Granbury, TX 76049","$57,936","$57,936","Granbury, TX
38 mi away",Automatic,,"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,New,Large Crew Cab,
,Tundra,,6 miles,5TFJA5DB9NX038318,"$60,281",Shottenkirk Toyota Granbury,"5100 East US Hwy 377 Granbury, TX 76049","$60,281","$60,281","Granbury, TX
38 mi away",Automatic,,"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,New,Large Crew Cab,
,Tundra,,6 miles,5TFJA5DB6NX040415,"$61,248",Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087","$61,248","$61,248","Weatherford, TX
32 mi away",Automatic,,"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,New,Large Crew Cab,
,Tundra,,0 miles,5TFMA5AB2NX011222,"$62,845",Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092","$62,845","$61,729","Grapevine, TX
13 mi away",Automatic,Brown (SADDLE TAN),"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,New,Large Crew Cab,
,Tundra,,0 miles,5TFMA5EC8NX21A301,"$65,281",Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092","$65,281","$64,165","Grapevine, TX
13 mi away",Automatic,Gray (CREAM LEATHER),"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,New,Large Crew Cab,
,Tundra,,6 miles,5TFMA5EC4NX007336,"$66,042",Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087","$66,042","$66,042","Weatherford, TX
32 mi away",Automatic,,"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,New,Large Crew Cab,
,Tundra,,0 miles,5TFMA5DB0NX039001,"$68,343",Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092","$68,343","$67,227","Grapevine, TX
13 mi away",Automatic,Silver (CREAM),"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,New,Large Crew Cab,
,Tundra,,0 miles,5TFMA5DB1NX040884,"$68,768",Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092","$68,768","$67,652","Grapevine, TX
13 mi away",Automatic,CREAM LEATHER,"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,New,Large Crew Cab,
,Tundra,,6 miles,5TFVC5DB1NX003705,"$77,922",Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087","$77,922","$77,922","Weatherford, TX
32 mi away",Automatic,,"17 MPG City
23 MPG Highway
19 MPG Combined",,437 hp 3.5L V6 Hybrid,Four-Wheel Drive,Hybrid,New,Large Crew Cab,
,Tundra,,5 miles,5TFVC5DB7NX003594,"$78,347",Lone Star Toyota of Lewisville,"1547 S. Stemmons Frwy. Lewisville, TX 75067","$78,347","$78,347","Lewisville, TX
20 mi away",Automatic,,"17 MPG City
23 MPG Highway
19 MPG Combined",,437 hp 3.5L V6 Hybrid,Four-Wheel Drive,Hybrid,New,Large Crew Cab,
,Tundra,,3 miles,5TFLA5AB1NX011210,RWD,Toyota of Richardson,"1221 N Central Expressway Richardson, TX 75080",No Price Listed,Not Provided,"Richardson, TX
28 mi away",,Black,"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,New,Large Crew Cab,
,Tundra,,25 miles,5TFLA5AB3NX011693,RWD,Toyota of Richardson,"1221 N Central Expressway Richardson, TX 75080",No Price Listed,Not Provided,"Richardson, TX
28 mi away",,Gray,"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,New,Large Crew Cab,
,Tundra,,---,5TFLA5AA2NX011787,RWD,South Toyota,"39660 Lyndon B Johnson Fwy Dallas, TX 75237",No Price Listed,Not Provided,"Dallas, TX
19 mi away",Automatic,Black (Blk Fabric),"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,New,Crew Cab,
,Bronco,,0 miles,1FMEE5DP8NLB35076,"$32,225",DeMontrond Ford,"3944 US 59 S Cleveland, TX 77328","$32,020",Not Provided,"Cleveland, TX
206 mi away",Automatic,STONE/BLACK,,,310 hp 2.7L V6,,Gasoline,New,,
,Bronco,,0 miles,1FMDE5BH9NLB12171,"$40,675",DeMontrond Ford,"3944 US 59 S Cleveland, TX 77328","$40,470",Not Provided,"Cleveland, TX
206 mi away",,GRAY/BLACK,,,270 hp 2.3L I4,,Gasoline,New,,
,Bronco,,0 miles,1FMDE5BH9NLB13062,"$42,220",DeMontrond Ford,"3944 US 59 S Cleveland, TX 77328","$42,015",Not Provided,"Cleveland, TX
206 mi away",,GRAY/BLACK,,,270 hp 2.3L I4,,Gasoline,New,,
,Bronco,,0 miles,1FMDE5CP1NLB31612,"$44,700",DeMontrond Ford,"3944 US 59 S Cleveland, TX 77328","$44,495",Not Provided,"Cleveland, TX
206 mi away",Automatic,VINYL BLACK,,,310 hp 2.7L V6,,Gasoline,New,,
,Bronco,,10 miles,1FMDE5BH2NLB33377,"$46,520",Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666","$46,520","$46,520","San Marcos, TX
46 mi away",,Blue (SV),,,270 hp 2.3L I4,Four-Wheel Drive,Gasoline,New,,
,Bronco,,10 miles,1FMDE5BH4NLA82318,"$63,162","J.O. Williams Motors, Inc.","419 E Broadway Ave. Gladewater, TX 75647","$62,955","$52,955","Gladewater, TX
297 mi away",Automatic,Blue (Roast),"20 MPG City
21 MPG Highway
20 MPG Combined",,270 hp 2.3L I4,Four-Wheel Drive,Gasoline,New,,
,Bronco,,10 miles,1FMEE5DP6NLB31740,"$54,270",Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666","$54,270","$54,270","San Marcos, TX
46 mi away",,Black (PV),"19 MPG City
20 MPG Highway
19 MPG Combined",,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,New,,
,Bronco,,10 miles,1FMEE5DP4NLB25337,"$54,920",Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666","$54,920","$54,920","San Marcos, TX
46 mi away",,Black (RV),,,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,New,,
,Bronco,,10 miles,1FMEE5DP3NLB09887,"$55,725",Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666","$55,725","$55,725","San Marcos, TX
46 mi away",,Silver (2V),,,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,New,,
,Bronco,,3 miles,1FMEE5DP4NLB30943,"$56,795",DeMontrond Ford,"3944 US 59 S Cleveland, TX 77328","$56,590",Not Provided,"Cleveland, TX
206 mi away",Automatic,Blue (SANDSTONE),,,310 hp 2.7L V6,,Gasoline,New,,
,Bronco,,0 miles,1FMEE5DP0NLA73236,"$57,235",Chaparral Ford Inc.,"102 County Road 773 Devine, TX 78016","$57,235","$57,235","Devine, TX
34 mi away",Automatic,Black (Med S&Stone W/Blk),,,310 hp 2.7L V6,,Gasoline,New,,
,Bronco,,269 miles,1FMDE5BH2NLA83712,"$57,590",Carvana,"102 County Road 773 Devine, TX 78016","$57,590",Not Provided,,Automatic,Black,"20 MPG City
21 MPG Highway
20 MPG Combined",,270 hp 2.3L I4,Four-Wheel Drive,Gasoline,New,,
,Bronco,,10 miles,1FMEE5DP1NLB31435,"$63,245",Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666","$63,245","$63,245","San Marcos, TX
46 mi away",,Red (TV),"19 MPG City
20 MPG Highway
19 MPG Combined",,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,New,,
,Bronco,,10 miles,1FMEE5DP3NLB32912,"$64,185",Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666","$64,185","$64,185","San Marcos, TX
46 mi away",,Gray (8V),,,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,New,,
,Bronco,,58 miles,1FMEE5DP0NLA79277,"$68,990",Carvana,"2661 N Interstate 35 San Marcos, TX 78666","$68,990",Not Provided,,Automatic,Black,"17 MPG City
17 MPG Highway
17 MPG Combined",,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,New,,
,Bronco,,0 miles,1FMDE5CP4NLB41261,4WD,Ford of Boerne,"31480 IH 10 west Boerne, TX 78006",No Price Listed,Not Provided,"Boerne, TX
26 mi away",Automatic,Red (Pv),"19 MPG City
20 MPG Highway
19 MPG Combined",,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,New,,
,Bronco,,6 miles,1FMEE5DP6NLA84810,4WD,Ford of Boerne,"31480 IH 10 west Boerne, TX 78006",No Price Listed,"$55,500","Boerne, TX
26 mi away",Automatic,Gray (2v),"19 MPG City
20 MPG Highway
19 MPG Combined",,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,New,,
,Maverick,,193 miles,3FTTW8F98NRA45047,"$41,990",Carvana,"31480 IH 10 west Boerne, TX 78006","$41,990",Not Provided,,8-Speed Automatic,Gray,"22 MPG City
29 MPG Highway
25 MPG Combined",,250 hp 2L I4,All-Wheel Drive,Gasoline,New,Crew Cab,
,Maverick,,229 miles,3FTTW8F99NRA41511,"$42,990",Carvana,"31480 IH 10 west Boerne, TX 78006","$42,990",Not Provided,,8-Speed Automatic,Black,"22 MPG City
29 MPG Highway
25 MPG Combined",,250 hp 2L I4,All-Wheel Drive,Gasoline,New,Crew Cab,
,Maverick,,58 miles,3FTTW8F98NRA53665,"$43,590",Carvana,"31480 IH 10 west Boerne, TX 78006","$43,590",Not Provided,,8-Speed Automatic,Gray,"22 MPG City
29 MPG Highway
25 MPG Combined",,250 hp 2L I4,All-Wheel Drive,Gasoline,New,Crew Cab,
,Hummer,,13 miles,1GT40FDA3NU100794,"$112,839",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074","$112,839","$112,839","Houston, TX
174 mi away",Automatic,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,New,Crew Cab,
,Hummer,,11 miles,1GT40FDA6NU100305,"$114,590",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074","$114,590","$114,590","Houston, TX
174 mi away",Automatic,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,New,Crew Cab,
,Hummer,,0 miles,1GT40FDAXNU100517,"$115,139",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074","$115,139","$115,139","Olathe, KS
683 mi away",1-Speed Automatic,Lunar Horizon (Jet Black/light Grey) Premium Leath,,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,New,Crew Cab,
,Hummer,,3 miles,1GT40FDA3NU100729,"$115,139",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074","$115,139",Not Provided,"Dover, DE
1,462 mi away",1-Speed Automatic,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,New,Crew Cab,
,Hummer,,11 miles,1GT40FDA1NU100552,"$115,139",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074","$115,139","$115,139","Houston, TX
174 mi away",Automatic,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,New,Crew Cab,
,Hummer,,11 miles,1GT40FDA4NU100674,"$115,139",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074","$115,139","$115,139","Houston, TX
174 mi away",Automatic,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,New,Crew Cab,
,Hummer,,13 miles,1GT40FDA4NU100688,"$115,139",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074","$115,139","$115,139","Houston, TX
174 mi away",Automatic,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,New,Crew Cab,
,Hummer,,5 miles,1GT40FDA3NU100407,"$115,439",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074","$115,439","$115,439","Houston, TX
174 mi away",Automatic,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,New,Crew Cab,
,Blazer,,5 miles,3GNKBERS8NS195163,"$46,015",Cavender Chevrolet,"30700 Interstate 10 - West Boerne, TX 78006","$46,015","$46,015","Boerne, TX
25 mi away",Automatic,Jet Black,"19 MPG City
27 MPG Highway
22 MPG Combined",,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,New,,
,Blazer,,5 miles,3GNKBCR47NS203520,"$37,855",Cavender Chevrolet,"30700 Interstate 10 - West Boerne, TX 78006","$37,855","$37,855","Boerne, TX
25 mi away",Automatic,Jet Black,"22 MPG City
29 MPG Highway
25 MPG Combined",,228 hp 2L I4,Front-Wheel Drive,Gasoline,New,,
,Blazer,,10 miles,3GNKBERSXNS195987,"$46,370",Cavender Chevrolet,"30700 Interstate 10 - West Boerne, TX 78006","$46,370","$46,370","Boerne, TX
25 mi away",Automatic,Jet Black,"19 MPG City
27 MPG Highway
22 MPG Combined",,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,New,,
,Blazer,,0 miles,3GNKBCR40NS202323,"$34,100",Neessen Chevrolet Buick GMC Truck,"2007 S US Highway 77 Byp Kingsville, TX 78363","$34,100","$35,350","Kingsville, TX
140 mi away",Automatic,Black,"22 MPG City
29 MPG Highway
25 MPG Combined",,228 hp 2L I4,Front-Wheel Drive,Gasoline,New,,
,Blazer,,2 miles,3GNKBCR43NS200923,"$37,281",Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840","$36,961","$37,950","Fairfield, TX
205 mi away",9-Speed Automatic Overdrive,Jet Black,,,228 hp 2L I4,Front-Wheel Drive,Gasoline,New,,
,Blazer,,5 miles,3GNKBCR47NS203520,"$37,855",Cavender Chevrolet,"30700 Interstate 10 - West Boerne, TX 78006","$37,855","$37,855","Boerne, TX
25 mi away",Automatic,Jet Black,"22 MPG City
29 MPG Highway
25 MPG Combined",,228 hp 2L I4,Front-Wheel Drive,Gasoline,New,,
,Blazer,,2 miles,3GNKBFRS5NS189150,"$42,386",Westside Chevrolet,"23001 Katy Fwy Katy, TX 77450","$42,141","$43,040","Katy, TX
162 mi away",Automatic,,"19 MPG City
27 MPG Highway
22 MPG Combined",,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,New,,
,Blazer,,2 miles,3GNKBERS4NS145909,"$43,706",Classic Chevrolet of Houston,"7000 Southwest Fwy Houston, TX 77074","$43,442","$44,980","Houston, TX
177 mi away",9-Speed Automatic Overdrive,Jet Black,,,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,New,,
,Blazer,,271 miles,3GNKBJRS1NS124962,"$44,990",Carvana,"7000 Southwest Fwy Houston, TX 77074","$44,990",Not Provided,,9-Speed Automatic Overdrive,Black,,,308 hp 3.6L V6,All-Wheel Drive,Gasoline,New,,
,Blazer,,5 miles,3GNKBERS2NS200339,"$46,885",Four Stars Auto Ranch Chevrolet Buick,"262 US HWY 287 S Henrietta, TX 76365","$46,885","$46,885","Henrietta, TX
301 mi away",9-Speed Automatic Overdrive,Jet Black,,,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,New,,
,Blazer,,5 miles,3GNKBERS8NS195163,"$46,015",Cavender Chevrolet,"30700 Interstate 10 - West Boerne, TX 78006","$46,015","$46,015","Boerne, TX
25 mi away",Automatic,Jet Black,"19 MPG City
27 MPG Highway
22 MPG Combined",,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,New,,
,Blazer,,10 miles,3GNKBERSXNS195987,"$46,370",Cavender Chevrolet,"30700 Interstate 10 - West Boerne, TX 78006","$46,370","$46,370","Boerne, TX
25 mi away",Automatic,Jet Black,"19 MPG City
27 MPG Highway
22 MPG Combined",,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,New,,
,Blazer,,2 miles,3GNKBERS2NS203029,"$47,670",El Dorado Chevrolet,"2300 North Central Expressway Mckinney, TX 75070","$47,670","$47,670","Mckinney, TX
278 mi away",9-Speed Automatic Overdrive,Jet Black,,,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,New,,
